Concentración ingrediente activo (%),ID_Articulo,Tipo_Articulo,Tienda_Local,Año_Establecimiento,ID_Tienda,Ubicación_Tienda,Tamaño_Tienda,Tipo_Tienda,Visibilidad_Articulo,Peso_articulo,Ventas,Calificacion,Nombre_Producto,Precio_soles
3.65,FDX19684,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.02219128,10,434,1.6,óleo aromático de palo rosa 10 ml,25
3.13,FDX63046,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.03571583,30,352,1.8,aceite de almendras 30 ml,20
2.79,FDX17139,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.04674401,120,426,4.0,jabón de caléndula 120 g,13
4.48,FDX52230,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.03981671,20,220,4.2,bálsamo amazónico de noche 20 g,20
1.95,FDX92124,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06788608,10,37,3.1,óleo aromático de eucalipto 10 ml,15
1.4,FDX98074,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04113752,90,127,2.1,jabón saponificado de manzanilla 90 g,13
1.13,FDX51477,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.06891263,50,7,2.0,tónico egipcio 50 ml,20
2.55,FDX61464,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02841629,87,269,4.1,incienso de palo santo,12
3.76,FDX87219,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.05976522,3,416,1.2,3 piezas de madera de palo santo,8
4.83,FDX60734,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.02440681,10,220,4.3,óleo aromático de lavanda 10 ml,20
3.66,FDX81257,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04392939,120,257,3.1,jabón de copaiba y árbol del te 120 g,13
1.54,FDX61389,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.06239808,10,172,3.3,óleo aromático de palo rosa 10 ml,25
2.86,FDX79541,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.08242045,3,125,2.5,3 piezas de madera de palo santo,8
2.05,FDX59294,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.02288778,19,485,1.7,incienso de palo santo,12
0.78,FDX20910,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06323049,96,271,1.8,incienso de palo santo,12
3.27,FDX35407,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.07870431,30,143,4.7,aceite de jojoba 30 ml,20
1.59,FDX32369,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.01841431,10,268,3.6,óleo aromático de hierba luisa 10 ml,15
0.85,FDX80599,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.04099972,10,371,4.6,óleo aromático de naranja dulce 10 ml,15
0.89,FDX51504,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0808391,120,220,1.3,jabón de lavanda 120 g,13
2.31,FDX55097,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.05558465,90,458,3.3,jabón saponificado de cacao 90 g,13
0.66,FDX32027,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.05014336,1,457,4.9,kéfir de agua de manzana 1 L,14
3.58,FDX42209,otros,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.02838408,75,378,2.4,repelente de hierba luisa 75 ml,16
4.05,FDX76457,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.04553799,10,366,2.3,aceite de copaiba 10 ml,12
2.29,FDX59876,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.03326556,120,351,3.2,jabón de lavanda 120 g,13
3.57,FDX19262,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.02193125,330,384,1.4,kombucha de maracuyá 330 ml,7
3.17,FDX81602,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.03408144,120,382,2.4,jabón de sangre de grado 120 g,13
2.99,FDX70760,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.0458953,10,267,4.6,aceite de copaiba 10 ml,12
3.19,FDX58423,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.08113737,120,461,1.1,jabón de sangre de grado 120 g,13
2.75,FDX64754,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.0982826,330,492,4.6,kombucha de maracuyá 330 ml,7
3.98,FDX13497,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.01936155,100,278,4.8,aceite de jojoba 100 ml,40
1.17,FDX55485,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.06174736,30,132,2.4,aceite de almendras 30 ml,20
2.72,FDX69670,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02475892,14,29,1.3,mascarilla de carbón activado 14 g,10
2.39,FDX41608,rostro,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.01697659,50,317,2.0,tónico de romero 50 ml,15
3.96,FDX57547,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.08770106,55,105,1.1,incienso de palo santo,12
2.44,FDX11461,rostro,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.01662564,50,253,1.4,tónico de romero 50 ml,15
1.0,FDX89472,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.09201428,10,445,3.7,aceite de copaiba 10 ml,12
2.97,FDX20886,rostro,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.03011489,25,132,3.2,exfoliante de rostro con arroz amazónico 25 g,12
2.33,FDX33089,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.08568324,1,377,4.9,kombucha de maracuyá 1 L,14
2.97,FDX33212,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.08922621,10,87,1.7,óleo aromático de palo rosa 10 ml,25
1.31,FDX77713,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06465921,100,471,1.6,aceite de jojoba 100 ml,40
3.17,FDX56434,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.04447565,27,83,2.8,pulsera de palo santo,15
1.47,FDX50955,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.07517529,100,76,2.1,aceite de jojoba 100 ml,40
0.69,FDX24847,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.04521492,10,49,2.3,óleo aromático de molle 10 ml,15
2.68,FDX91163,cuidado corporal,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.07317537,120,7,3.8,jabón de caléndula 120 g,13
3.65,FDX46079,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.08442315,1,459,2.2,kombucha de kión 1 L,14
1.84,FDX66049,cuidado corporal,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.03244171,120,170,1.7,jabón de sangre de grado 120 g,13
2.69,FDX95411,probioticos,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.01954245,1,165,2.1,kombucha de maracuyá 1 L,14
2.08,FDX55706,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.09873655,10,321,1.6,óleo aromático de palo rosa 10 ml,25
3.41,FDX81150,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0220046,330,419,3.9,kombucha de jamaica 330 ml,7
1.01,FDX20148,probioticos,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.05445304,1,405,1.1,kombucha de muña 1 L,14
2.6,FDX98921,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.02064144,10,469,2.3,óleo aromático de molle 10 ml,15
4.49,FDX14803,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.07346701,10,281,1.9,óleo aromático de palo santo 10 ml,20
2.84,FDX55775,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06940023,90,436,4.9,jabón saponificado de cacao 90 g,13
4.43,FDX59047,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0193596,90,214,4.0,jabón saponificado de cacao 90 g,13
4.25,FDX49265,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.08746557,10,18,3.8,óleo aromático de matico 10 ml,15
3.57,FDX40353,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.05467279,1,434,4.8,kombucha de maracuyá 1 L,14
1.27,FDX75604,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.02139578,10,203,1.1,óleo aromático de árbol del te 10 ml,20
4.89,FDX97513,rostro,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0888667,14,76,3.1,mascarilla de carbón activado 14 g,10
4.98,FDX61715,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.03836686,30,229,2.5,aceite de almendras 30 ml,20
2.57,FDX61052,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.08806808,10,95,2.7,óleo aromático de árbol del te 10 ml,20
2.7,FDX93114,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.07375518,3,298,1.3,3 piezas de madera de palo santo,8
3.94,FDX31676,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.0608516,50,398,1.6,tónico de romero 50 ml,15
2.1,FDX61313,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.05122132,10,365,2.6,óleo aromático de eucalipto 10 ml,15
0.67,FDX15969,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.0962869,10,357,4.5,óleo aromático de hierba luisa 10 ml,15
1.12,FDX69090,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.06657689,10,330,3.0,óleo aromático de palo rosa 10 ml,25
4.94,FDX48384,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.09828566,10,461,3.1,óleo aromático de molle 10 ml,15
3.6,FDX78008,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.07343083,10,282,3.3,óleo aromático de palo rosa 10 ml,25
1.92,FDX84990,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.07860221,330,425,4.8,kombucha de jamaica 330 ml,7
2.79,FDX50428,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0519527,10,259,4.6,óleo aromático de árbol del te 10 ml,20
1.6,FDX64471,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.01878213,67,76,4.0,incienso de palo santo,12
4.98,FDX86002,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.08700649,30,408,3.1,aceite de almendras 30 ml,20
1.85,FDX95835,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0368065,10,251,2.1,óleo aromático de eucalipto 10 ml,15
2.44,FDX73830,cuidado corporal,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.0911191,90,121,4.3,jabón saponificado de manzanilla 90 g,13
1.44,FDX98794,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.04227611,26,415,1.1,incienso de palo santo,12
1.27,FDX19888,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.07229618,1,397,1.7,kombucha de jamaica 1 L,14
3.06,FDX87763,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09549323,120,294,3.8,jabón de lavanda 120 g,13
3.82,FDX90634,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.0162737,90,464,4.9,jabón saponificado de manzanilla 90 g,13
4.24,FDX45765,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.03123281,10,342,1.3,óleo aromático de matico 10 ml,15
1.51,FDX32592,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.01040335,10,432,4.1,óleo aromático de romero 10 ml,15
3.42,FDX25701,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.04880803,330,129,2.9,kéfir de agua de manzana 330 ml,7
1.33,FDX49113,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.08968666,90,158,1.9,jabón saponificado de manzanilla 90 g,13
3.44,FDX65773,rostro,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.07516875,25,470,3.9,exfoliante de rostro con arroz amazónico 25 g,12
0.72,FDX61033,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.01331144,10,268,1.6,óleo aromático de muña 10 ml,15
3.33,FDX25523,cabello,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08570747,50,221,4.5,shampoo sólido de sangre de grado 50 g,28
2.17,FDX42437,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06339139,94,363,1.5,incienso de palo santo,12
4.83,FDX63942,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.05124222,100,115,2.5,aceite de jojoba 100 ml,40
4.92,FDX63242,probioticos,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.09505713,1,480,3.7,kombucha de muña 1 L,14
3.74,FDX10163,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02677001,10,483,3.8,óleo aromático de árbol del te 10 ml,20
0.75,FDX74930,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09849318,10,267,2.8,óleo aromático de naranja dulce 10 ml,15
4.06,FDX97663,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.05714588,10,233,1.3,óleo aromático de palo rosa 10 ml,25
3.99,FDX97988,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.08016709,30,445,4.8,aceite de aguaje 30 ml,30
2.85,FDX65197,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.0401695,120,492,4.4,jabón de lavanda 120 g,13
1.87,FDX77784,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.02677324,10,274,3.3,óleo aromático de lavanda 10 ml,20
1.17,FDX80831,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08528682,30,10,4.7,aceite de almendras 30 ml,20
3.81,FDX37431,cuidado corporal,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.01076993,120,31,3.3,jabón de aguaje 120 g,13
2.77,FDX82994,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02051842,30,39,1.1,aceite de almendras 30 ml,20
3.41,FDX26080,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.04868359,90,257,4.2,incienso de palo santo,12
2.45,FDX26167,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06514017,10,27,3.7,óleo aromático de lavanda 10 ml,20
3.25,FDX46308,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.06517468,10,50,3.2,óleo aromático de eucalipto 10 ml,15
4.22,FDX54488,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.02201221,90,14,3.7,jabón saponificado de manzanilla 90 g,13
2.21,FDX12108,cabello,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.01079797,50,60,1.2,shampoo sólido de sangre de grado 50 g,28
2.71,FDX76113,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.09075669,10,203,2.4,óleo aromático de eucalipto 10 ml,15
2.09,FDX92607,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.04894758,10,234,3.6,óleo aromático de romero 10 ml,15
1.95,FDX59635,probioticos,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.0231011,1,169,2.4,kéfir de agua de manzana 1 L,14
4.52,FDX58359,rostro,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0994828,25,274,4.8,exfoliante de rostro con arroz amazónico 25 g,12
1.26,FDX50645,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.02539541,30,302,2.5,aceite de aguaje 30 ml,30
1.38,FDX28312,probioticos,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.06714583,1,81,4.1,kombucha de maracuyá 1 L,14
0.78,FDX80780,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09937168,1,271,2.4,kombucha de jamaica 1 L,14
3.13,FDX10973,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.09001866,20,418,1.2,bálsamo amazónico de noche 20 g,20
2.26,FDX81980,otros,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.09233344,75,270,1.6,repelente de hierba luisa 75 ml,16
0.86,FDX67055,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.0112244,30,179,3.7,aceite de aguaje 30 ml,30
4.6,FDX56904,rostro,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.08516955,25,109,2.0,exfoliante de rostro con arroz amazónico 25 g,12
3.86,FDX68855,probioticos,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.03199955,1,346,3.9,kombucha de maracuyá 1 L,14
3.95,FDX64941,cuidado corporal,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.06746301,120,111,2.8,jabón de copaiba y árbol del te 120 g,13
4.56,FDX21394,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.03538542,30,244,2.9,aceite de almendras 30 ml,20
4.96,FDX87166,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09407398,30,10,1.7,aceite de almendras 30 ml,20
2.27,FDX18177,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02987424,84,322,4.6,sahumerio de plantas medicinales,10
1.89,FDX51003,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.02878009,1,180,2.7,kombucha de maracuyá 1 L,14
2.6,FDX28260,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.05713249,120,390,1.6,jabón de sangre de grado 120 g,13
3.37,FDX59600,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.06503784,10,76,3.6,óleo aromático de romero 10 ml,15
4.64,FDX23102,cuidado corporal,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.06383745,120,141,2.9,jabón de aguaje 120 g,13
2.09,FDX33140,otros,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.0711703,75,442,3.3,repelente de hierba luisa 75 ml,16
1.88,FDX37937,probioticos,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.07847268,1,62,4.9,kombucha de kión con espirulina 1 L,14
2.49,FDX64781,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.05799942,10,261,2.6,óleo aromático de árbol del te 10 ml,20
4.32,FDX62062,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.05214597,1,360,2.4,kombucha de kión con espirulina 1 L,14
4.93,FDX23894,rostro,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.0336734,50,88,2.6,agua de rosas 50 ml,15
4.48,FDX91646,cabello,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.04078855,50,149,1.6,shampoo sólido de sangre de grado 50 g,28
1.13,FDX49313,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.02616231,30,469,1.2,aceite de aguaje 30 ml,30
4.96,FDX35059,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.04194478,10,223,2.7,óleo aromático de lavanda 10 ml,20
4.31,FDX90522,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09952783,20,457,4.5,bálsamo amazónico de noche 20 g,20
3.46,FDX51876,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.04738541,10,407,5.0,óleo aromático de lavanda 10 ml,20
1.64,FDX52974,rostro,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.03633739,50,286,4.4,tónico egipcio 50 ml,20
4.29,FDX31601,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.08539036,61,492,1.1,incienso de palo santo,12
4.0,FDX61901,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.03816889,10,162,2.4,óleo aromático de eucalipto 10 ml,15
4.5,FDX73804,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.03929195,330,455,2.3,kombucha de jamaica 330 ml,7
1.04,FDX10799,cuidado corporal,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.02729164,120,206,1.8,jabón de caléndula 120 g,13
3.21,FDX53558,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08773268,10,365,3.8,óleo aromático de hierba luisa 10 ml,15
2.9,FDX46281,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.03412106,10,178,3.5,óleo aromático de romero 10 ml,15
4.47,FDX58985,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06765594,10,285,3.2,óleo aromático de árbol del te 10 ml,20
2.17,FDX94982,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.09091801,30,492,4.3,aceite de aguaje 30 ml,30
3.58,FDX10526,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09858248,10,217,2.2,óleo aromático de palo santo 10 ml,20
1.72,FDX93574,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.02233929,50,457,1.7,tónico egipcio 50 ml,20
3.42,FDX47185,rostro,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.05486904,50,27,1.8,tónico de romero 50 ml,15
4.46,FDX83644,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.02670171,100,193,4.1,aceite de jojoba 100 ml,40
0.69,FDX67193,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.07450422,100,343,3.2,aceite de jojoba 100 ml,40
0.72,FDX43178,aromaterapia,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.0808157,10,422,4.3,óleo aromático de romero 10 ml,15
3.46,FDX50068,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.03722536,10,188,2.1,óleo aromático de palo rosa 10 ml,25
4.65,FDX91223,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09950546,30,73,3.3,aceite de almendras 30 ml,20
3.51,FDX11085,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.03296039,10,202,2.1,óleo aromático de matico 10 ml,15
0.74,FDX80410,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.05795424,120,201,3.1,jabón de sangre de grado 120 g,13
4.7,FDX98095,cabello,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.09613062,50,471,2.4,shampoo sólido de sangre de grado 50 g,28
2.17,FDX98728,cuidado corporal,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09239651,20,284,3.8,bálsamo amazónico de noche 20 g,20
0.99,FDX64641,probioticos,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09723971,1,159,4.9,kéfir de agua de manzana 1 L,14
1.18,FDX55702,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.01166193,10,135,3.1,óleo aromático de matico 10 ml,15
4.51,FDX81404,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.06903256,10,137,2.7,óleo aromático de naranja dulce 10 ml,15
2.45,FDX54470,cuidado corporal,Biossellos,2005,OUT003,TIER 1,GRANDE,SUPERMERCADO,0.09568696,120,63,5.0,jabón de arcilla verde 120 g,13
4.43,FDX39114,aromaterapia,ForestLife,2010,OUT001,TIER 1,PEQUEÑA,STAND,0.04958387,10,325,1.6,óleo aromático de matico 10 ml,15
3.76,FDX12966,aromaterapia,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.03473843,10,144,4.5,óleo aromático de palo santo 10 ml,20
2.29,FDX76130,probioticos,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.0417839,330,140,3.2,kéfir de agua de manzana 330 ml,7
2.68,FDX97091,probioticos,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.08734803,330,141,4.8,kombucha de jamaica 330 ml,7
4.26,FDX25405,aromaterapia,EcoRaíces,2018,OUT004,TIER 3,MEDIANA,MERCADO,0.08469301,30,1,1.1,aceite de almendras 30 ml,20
4.53,FDX91266,aromaterapia,VerdeAndino,2020,OUT005,TIER 2,PEQUEÑA,STAND,0.06630775,10,104,3.3,aceite de copaiba 10 ml,12
3.99,FDX72293,rostro,NaturaWood,2015,OUT002,TIER 2,MEDIANA,TIENDA_INDEPENDIENTE,0.09008174,50,336,1.3,tónico egipcio 50 ml,20
